,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total.1
Fire,1,1,,0,1,1,1,1,1,1,1,1,1,1
Grass,4,4,,4,4,4,4,4,4,4,4,4,4,4
Fire,4,4,,3,4,4,4,4,4,4,4,4,4,4
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Bug,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,0,3,3,3,3,3,3,3,3,3,3
Bug,5,5,,5,5,5,5,5,5,5,5,5,5,5
Normal,5,5,,4,5,5,5,5,5,5,5,5,5,5
Normal,3,3,,2,3,3,3,3,3,3,3,3,3,3
Poison,2,2,,0,2,2,2,2,2,2,2,2,2,2
Electric,2,2,,0,2,2,2,2,2,2,2,2,2,2
Ground,2,2,,0,2,2,2,2,2,2,2,2,2,2
Poison,1,1,,0,1,1,1,1,1,1,1,1,1,1
Poison,5,5,,2,5,5,5,5,5,5,5,5,5,5
Fairy,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Grass,2,2,,2,2,2,2,2,2,2,2,2,2,2
Normal,1,1,,1,1,1,1,1,1,1,1,1,1,1
Poison,2,2,,2,2,2,2,2,2,2,2,2,2,2
Bug,4,4,,4,4,4,4,4,4,4,4,4,4,4
Grass,1,1,,1,1,1,1,1,1,1,1,1,1,1
Ground,2,2,,0,2,2,2,2,2,2,2,2,2,2
Normal,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Fighting,2,2,,0,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,1,1,,0,1,1,1,1,1,1,1,1,1,1
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Water,3,3,,1,3,3,3,3,3,3,3,3,3,3
Fighting,3,3,,0,3,3,3,3,3,3,3,3,3,3
Psychic,2,2,,0,2,2,2,2,2,2,2,2,2,2
Grass,3,3,,3,3,3,3,3,3,3,3,3,3,3
Water,2,2,,2,2,2,2,2,2,2,2,2,2,2
Fire,2,2,,0,2,2,2,2,2,2,2,2,2,2
Rock,3,3,,3,3,3,3,3,3,3,3,3,3,3
Electric,2,2,,2,2,2,2,2,2,2,2,2,2,2
Water,3,3,,3,3,3,3,3,3,3,3,3,3,3
Normal,3,3,,3,3,3,3,3,3,3,3,3,3,3
